name,lat,lng,address,province,city,area,uid,tag1,tag2
迈皋桥街道图书馆,32.117598216926254,118.867568,南京市栖霞区华银路南京师范大学附属中学丁家庄初级中学,江苏省,南京市,栖霞区,133f7541aedc49fe725e802b,教育培训,图书馆
南京信息职业技术学院-图书馆,32.13101804224551,118.947751,文澜路99号南京信息职业技术学院内,江苏省,南京市,栖霞区,abb010e8205996079d82ea10,教育培训,图书馆
1318(杜厦图书馆),32.116773716043944,118.96721,仙林大道163号杜厦图书馆F1层,江苏省,南京市,栖霞区,6dcd3ddc7174fa8cb25c6ab2,教育培训,图书馆
栖阅时光·城市书房,32.12091668974464,118.856777,江苏省南京市栖霞区凤和西园,江苏省,南京市,栖霞区,188c1a5d46409b6579b55cf4,教育培训,图书馆
南京审计大学金审学院图书馆,32.09146723574507,118.923238,江苏省南京市栖霞区仙林大道100号,江苏省,南京市,栖霞区,defede9861cfbb063517dc37,教育培训,图书馆
栖霞区图书馆朗读亭,32.10466645678974,118.933477,学津路仙林金鹰湖滨天地B区一楼GTAKAYA旁,江苏省,南京市,栖霞区,084d401e1c7cbcb035b06c69,教育培训,图书馆
5204(杜厦图书馆),32.11586081766529,118.966149,仙林大道163号杜厦图书馆F5层,江苏省,南京市,栖霞区,2b94bfc8356dfac1210220e7,教育培训,图书馆
1213(杜厦图书馆),32.11623522701551,118.966096,仙林大道163号杜厦图书馆F1层,江苏省,南京市,栖霞区,0280147d8b83319003ff2d7c,教育培训,图书馆
南京财经大学图书馆,32.11068891518069,118.930582,文苑路3号南京财经大学(仙林校区)图书馆,江苏省,南京市,栖霞区,e56bf5e3e1229e3a0782c213,教育培训,图书馆
南京理工大学紫金学院-图书馆,32.12769675129737,118.940074,文澜路89号南京理工大学紫金学院图书馆,江苏省,南京市,栖霞区,75d0881a68c5af303b04b1be,教育培训,图书馆
南京师范大学仙林校区-生地图书馆,32.117119783661174,118.916425,南京市栖霞区学林路与文鼎路交叉路口往东约50米(南京师范大学),江苏省,南京市,栖霞区,59c4f6faf942a190f32d8385,教育培训,图书馆
南京师范大学-社科图书馆,32.10394861475656,118.919119,文苑路1号,江苏省,南京市,栖霞区,8434c99e4fb8fc7788b98859,教育培训,图书馆
研3304(杜厦图书馆),32.116552723163984,118.966051,仙林大道163号杜厦图书馆F4层,江苏省,南京市,栖霞区,e8bb493975432e404f3a596d,教育培训,图书馆
南京城市职业学院图书馆,32.13033217508421,118.829735,燕子矶街道和燕路462号,江苏省,南京市,栖霞区,28d3de157929a0f657bffff9,教育培训,图书馆
1108(杜厦图书馆),32.11670346142767,118.966677,仙林大道163号杜厦图书馆F1层,江苏省,南京市,栖霞区,04383b64a07984ce3310af33,教育培训,图书馆
状元k书馆(栖霞馆),32.07168054426918,118.91641,石狮路3号银城KinmaQ+社区4号楼负一层,江苏省,南京市,栖霞区,fc631b662b57d67372210b2c,教育培训,其他
大厅(杜厦图书馆),32.1162510653264,118.966881,仙林大道163号杜厦图书馆F2层,江苏省,南京市,栖霞区,10f9a6afc9ce964f0f0a70b5,教育培训,图书馆
文献传递(杜厦图书馆),32.116036843362416,118.966871,仙林大道163号杜厦图书馆F2层,江苏省,南京市,栖霞区,31b05dcd3d1f1c24fea77810,教育培训,图书馆
1301(杜厦图书馆),32.11601978209613,118.966867,仙林大道163号杜厦图书馆F1层,江苏省,南京市,栖霞区,de35c0ef646aed71c9fa5fc8,教育培训,图书馆
内展厅(杜厦图书馆),32.11592039489384,118.966695,仙林大道163号杜厦图书馆F1层,江苏省,南京市,栖霞区,a2e78cfe45261ac23586f4bf,教育培训,图书馆
1322(杜厦图书馆),32.11675135132962,118.967035,仙林大道163号杜厦图书馆F1层,江苏省,南京市,栖霞区,a2c97f06006f23e9b13c810b,教育培训,图书馆
数字图书馆建设部/C210(杜厦图书馆),32.11641294818322,118.967238,仙林大道163号杜厦图书馆F2层,江苏省,南京市,栖霞区,6d3f572a0b33cbf81e1d11ea,教育培训,图书馆
2109(杜厦图书馆),32.11670695571533,118.966713,仙林大道163号杜厦图书馆F2层,江苏省,南京市,栖霞区,aeaf7987bf7cb95495ca0703,教育培训,图书馆
参考咨询部/2305(杜厦图书馆),32.11599060850188,118.9673,仙林大道163号杜厦图书馆F2层,江苏省,南京市,栖霞区,8ecf15b72e08c4f343afe6ce,教育培训,其他
爱心书屋(杜厦图书馆),32.1167405083913,118.966973,仙林大道163号杜厦图书馆F3层,江苏省,南京市,栖霞区,a9ce91cd8cc05743ad31e50b,购物,商铺
鼓楼区图书馆,32.08041230998971,118.744723,江苏省南京市鼓楼区二板桥486号,江苏省,南京市,鼓楼区,cd3356be88624ac19d82ea19,教育培训,图书馆
